order_id,customer_id,order_date,status
148,42,2025-04-19,Completed
149,42,2025-06-22,Completed
150,36,2025-08-04,Completed
151,11,2025-08-29,Completed
152,96,2025-10-04,Completed
153,45,2025-04-25,Returned
154,9,2025-11-30,Completed
155,97,2025-01-16,Completed
156,26,2025-01-11,Cancelled
157,20,2025-05-03,Completed
158,61,2025-12-09,Completed
159,73,2025-04-22,Completed
160,90,2025-05-12,Completed
161,22,2025-11-07,Cancelled
162,96,2025-02-28,Completed
163,40,2025-02-25,Cancelled
164,4,2025-06-09,Cancelled
165,87,2025-07-12,Completed
166,92,2025-04-12,Completed
167,76,2025-12-20,Returned
168,32,2025-02-22,Returned
169,99,2025-06-04,Returned
170,77,2025-03-03,Cancelled
171,6,2025-06-27,Cancelled
172,55,2025-12-05,Completed
173,9,2025-09-17,Returned
174,44,2025-01-07,Completed
175,63,2025-02-24,Completed
176,47,2025-11-22,Completed
177,91,2025-03-20,Completed
178,23,2025-09-25,Returned
179,35,2025-11-12,Cancelled
180,100,2025-09-05,Completed
181,56,2025-10-31,Completed
182,42,2025-05-06,Completed
183,36,2025-08-19,Completed
184,97,2025-08-26,Cancelled
185,79,2025-12-09,Completed
186,44,2025-01-15,Completed
187,42,2025-04-04,Completed
188,28,2025-07-01,Completed
189,44,2025-05-24,Cancelled
190,90,2025-05-22,Cancelled
191,2,2025-09-22,Completed
192,11,2025-05-04,Returned
193,53,2025-09-08,Cancelled
194,98,2025-05-04,Returned
195,61,2025-11-27,Returned
196,63,2025-08-18,Completed
197,12,2025-05-31,Completed
198,52,2025-12-21,Completed
199,40,2025-12-06,Cancelled
200,48,2025-08-31,Cancelled
201,68,2025-06-26,Completed
202,96,2025-10-09,Completed
203,46,2025-12-26,Completed
204,35,2025-06-06,Completed
205,30,2025-03-03,Returned
206,25,2025-06-11,Completed
207,96,2025-10-02,Returned
208,24,2025-04-09,Completed
209,95,2025-09-05,Completed
210,93,2025-10-29,Cancelled
211,77,2025-05-25,Completed
212,25,2025-06-01,Completed
213,47,2025-04-02,Completed
214,2,2025-12-29,Cancelled
215,17,2025-05-21,Completed
216,7,2025-10-11,Completed
217,90,2025-03-06,Returned
218,97,2025-09-09,Completed
219,2,2025-10-21,Completed
220,61,2025-09-03,Completed
221,44,2025-04-05,Completed
222,33,2025-09-02,Completed
223,9,2025-07-25,Completed
224,10,2025-10-23,Returned
225,88,2025-01-28,Completed
226,20,2025-10-16,Completed
227,11,2025-05-08,Completed
228,72,2025-08-02,Cancelled
229,77,2025-11-13,Completed
230,100,2025-09-25,Completed
231,58,2025-08-15,Completed
232,76,2025-08-08,Completed
233,73,2025-11-14,Completed
234,79,2025-02-20,Completed
235,81,2025-04-19,Completed
236,85,2025-02-11,Completed
237,31,2025-03-30,Cancelled
238,10,2025-03-22,Completed
239,53,2025-08-19,Returned
240,77,2025-08-29,Completed
241,5,2025-04-29,Completed
242,91,2025-05-25,Returned
243,59,2025-02-06,Returned
244,30,2025-05-16,Returned
245,76,2025-12-05,Completed
246,55,2025-02-28,Cancelled
247,29,2025-11-28,Completed
248,35,2025-03-14,Completed
249,8,2025-03-26,Completed
250,77,2025-10-19,Completed
251,57,2025-03-05,Completed
252,89,2025-06-05,Returned
253,52,2025-05-20,Cancelled
254,70,2025-09-10,Completed
255,11,2025-11-03,Completed
256,56,2025-06-15,Cancelled
257,33,2025-01-14,Completed
258,30,2025-12-12,Cancelled
259,76,2025-01-11,Returned
260,35,2025-10-23,Completed
261,98,2025-03-31,Completed
262,67,2025-11-30,Completed
263,36,2025-04-03,Cancelled
264,56,2025-11-22,Completed
265,12,2025-08-29,Completed
266,53,2025-06-20,Completed
267,86,2025-02-23,Completed
268,43,2025-07-30,Returned
269,64,2025-05-28,Returned
270,52,2025-10-09,Completed
271,59,2025-02-15,Completed
272,33,2025-06-15,Completed
273,99,2025-07-26,Cancelled
274,1,2025-12-03,Cancelled
275,60,2025-07-31,Completed
276,25,2025-09-23,Completed
277,80,2025-09-13,Returned
278,57,2025-01-27,Completed
279,35,2025-10-09,Completed
280,37,2025-08-13,Returned
281,63,2025-03-04,Completed
282,81,2025-11-08,Completed
283,91,2025-03-23,Completed
284,71,2025-01-08,Cancelled
285,53,2025-02-17,Completed
286,15,2025-08-25,Completed
287,83,2025-03-20,Completed
288,92,2025-05-30,Cancelled
289,91,2025-05-20,Completed
290,62,2025-08-30,Completed
291,59,2025-10-10,Completed
292,50,2025-04-08,Cancelled
293,66,2025-03-11,Completed
294,36,2025-08-01,Completed
295,65,2025-05-17,Completed
296,37,2025-06-02,Cancelled
297,75,2025-12-04,Completed
298,20,2025-08-17,Cancelled
299,62,2025-06-26,Completed
300,71,2025-10-06,Completed
301,59,2025-06-14,Completed
302,90,2025-05-03,Cancelled
303,50,2025-04-30,Completed
304,6,2025-06-12,Returned
305,61,2025-12-28,Completed
306,50,2025-12-06,Returned
307,20,2025-09-11,Completed
308,17,2025-09-15,Cancelled
309,43,2025-02-21,Completed
310,13,2025-09-27,Completed
311,2,2025-03-15,Completed
312,84,2025-03-21,Completed
313,61,2025-05-16,Completed
314,80,2025-12-21,Completed
315,84,2025-02-11,Completed
316,87,2025-10-01,Completed
317,41,2025-11-17,Returned
318,98,2025-09-07,Cancelled
319,5,2025-11-13,Completed
320,31,2025-11-20,Returned
321,37,2025-04-27,Returned
322,12,2025-08-11,Completed
323,98,2025-11-21,Returned
324,13,2025-08-16,Completed
325,89,2025-06-03,Completed
326,6,2025-06-16,Completed
327,38,2025-07-03,Completed
328,56,2025-03-16,Completed
329,68,2025-07-30,Cancelled
330,88,2025-04-03,Completed
331,23,2025-02-10,Cancelled
332,49,2025-11-14,Returned
333,31,2025-09-12,Cancelled
334,19,2025-04-29,Completed
335,82,2025-05-11,Completed
336,33,2025-12-08,Completed
337,60,2025-05-28,Returned
338,70,2025-03-22,Completed
339,57,2025-06-26,Cancelled
340,39,2025-11-24,Completed
341,89,2025-05-09,Completed
342,39,2025-04-12,Completed
343,62,2025-02-24,Completed
344,49,2025-10-20,Completed
345,74,2025-06-01,Returned
346,38,2025-01-12,Returned
347,51,2025-05-21,Completed
348,73,2025-12-18,Returned
349,7,2025-11-07,Returned
350,64,2025-05-27,Completed
351,78,2025-06-30,Completed
352,82,2025-04-08,Cancelled
353,33,2025-12-14,Returned
354,99,2025-12-04,Returned
355,18,2025-11-18,Completed
356,81,2025-11-27,Completed
357,40,2025-08-14,Completed
358,75,2025-07-06,Returned
359,17,2025-02-16,Completed
360,42,2025-08-01,Completed
361,26,2025-03-09,Cancelled
362,47,2025-09-29,Cancelled
363,35,2025-03-26,Completed
364,62,2025-06-01,Returned
365,44,2025-02-28,Completed
366,10,2025-03-14,Completed
367,87,2025-12-12,Completed
368,72,2025-07-07,Completed
369,51,2025-01-08,Completed
370,69,2025-03-05,Completed
371,48,2025-12-11,Returned
372,87,2025-05-15,Cancelled
373,49,2025-11-23,Completed
374,14,2025-12-12,Completed
375,61,2025-01-13,Cancelled
376,72,2025-06-17,Cancelled
377,29,2025-11-28,Completed
378,82,2025-08-26,Returned
379,39,2025-11-29,Completed
380,15,2025-03-13,Completed
381,5,2025-06-05,Completed
382,15,2025-02-19,Completed
383,69,2025-03-11,Completed
384,59,2025-07-09,Returned
385,96,2025-12-23,Cancelled
386,54,2025-10-28,Returned
387,94,2025-03-21,Completed
388,84,2025-02-20,Completed
389,79,2025-07-28,Completed
390,5,2025-12-20,Completed
391,28,2025-08-16,Completed
392,31,2025-07-05,Completed
393,88,2025-07-08,Cancelled
394,83,2025-07-03,Completed
395,51,2025-05-22,Completed
396,16,2025-08-21,Completed
397,85,2025-04-19,Returned
398,82,2025-11-02,Completed
399,7,2025-06-20,Completed
400,17,2025-10-17,Completed
